,Регион,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
74,Республика Бурятия,9230.7,10642.0,10953.8,16039.5,21555.1,30314.6,38524.0,53479.2,65707.2,77313.2,94965.1,111354.0,129145.4,125172.5,137564.9,158136.6,169552.9,181828.2,191043.9,206880.3,224534.7,228171.1,262811.9,290301.4,307558.8
75,Забайкальский край,9220.2,10263.3,10602.1,17321.4,25320.1,29979.7,38443.3,46308.5,53845.5,61741.0,81066.2,99544.9,126362.1,133973.5,150548.9,184869.1,204112.1,209780.8,215668.4,228215.0,258225.0,284969.1,317815.5,343033.0,402594.6
76,Республика Саха (Якутия),27259.7,30625.2,34109.9,64704.9,85375.5,105733.3,121163.1,140065.1,161309.0,191896.0,216535.9,253423.5,322922.2,342520.1,403658.5,508674.4,566387.0,597037.4,688540.1,780139.8,925293.3,977633.1,1166833.3,1258706.5,1168152.5
77,Камчатский край,20397.7,22086.6,30380.4,39638.0,49108.7,63274.0,71934.1,83980.4,101205.1,129240.8,168173.2,200610.1,238404.5,291953.6,319849.2,356413.4,397725.9,416493.0,457553.1,553863.9,710448.2,724011.6,835029.8,891049.1,942802.0
78,Приморский край,11258.5,13043.3,14394.0,24716.7,29139.9,34628.0,46632.5,57986.3,74713.1,92504.2,108099.2,130632.0,160416.7,187556.4,240220.7,281618.3,286057.3,297224.3,331845.1,371595.6,446924.1,472486.5,506052.1,561643.0,582950.7
79,Хабаровский край,14517.1,19803.7,19517.6,27162.8,44171.2,54983.9,70162.9,81613.4,94795.1,116257.5,141994.7,170398.0,198951.6,205081.0,262685.8,297609.2,326306.5,371415.6,402759.5,445809.5,504272.3,524460.5,574833.3,608977.5,658239.5
80,Амурская область,13155.7,15818.0,15103.7,21935.4,28317.2,42578.3,50449.6,59480.3,72937.0,88597.1,111116.2,131887.8,156329.6,180572.3,214827.2,273175.8,280023.9,258817.0,286282.6,343385.7,370192.4,373935.1,419905.2,521060.1,571362.1
81,Магаданская область,26438.6,30770.0,32315.5,50936.4,65704.6,89987.5,121272.5,135180.6,139840.3,157798.9,185017.6,213449.6,258848.1,299403.8,377895.0,464112.9,511125.4,587477.4,649745.4,854561.5,1054274.8,1117517.3,1236274.4,1518066.7,2035007.0
82,Сахалинская область,15476.9,19625.3,21428.2,45662.9,61595.8,84769.1,85927.4,116731.0,172004.4,230298.2,321108.8,559774.1,657783.3,779943.2,977256.0,1210003.9,1298440.0,1364874.7,1631919.0,1716734.4,1564707.9,1605079.4,2517125.0,2400858.1,2059206.5
83,Еврейская автономная область,7177.0,8355.6,7535.3,15344.9,19484.8,24877.5,35766.0,45196.1,60029.9,77319.2,99578.4,132505.0,134377.5,142388.0,178380.6,225065.5,246301.3,224042.7,247666.9,266405.8,294021.2,338826.6,339068.1,355545.7,400340.5
84,Чукотский автономный округ,30606.1,33540.9,37859.4,49746.0,65963.0,123130.9,187368.1,256992.1,238227.2,237134.5,295107.1,396907.1,582270.4,872422.0,767845.6,883368.7,896822.1,877612.8,1142504.1,1226152.0,1443771.7,1469675.0,1685134.1,1898634.8,2404271.2
